2016-12-15T01:00:00.000,New Dawn Transit LLC,116.39999999999999,G.V.C. LTD,65.3,Pioneer Transportation,51.599999999999994,Reliant Transportation Inc.,39.99999999999999,First Steps Transportation Inc.,28.200000000000003
2016-12-22T01:00:00.000,New Dawn Transit LLC,32.2,G.V.C. LTD,17.4,Pioneer Transportation,12.899999999999999,Reliant Transportation Inc.,8.7,IC Bus Inc.,6.2
2016-12-29T01:00:00.000,New Dawn Transit LLC,63.1,G.V.C. LTD,28.6,Reliant Transportation Inc.,16.5,L & M Bus Corp.,16.2,Boro Transit Inc.,15.0
2017-01-05T01:00:00.000,New Dawn Transit LLC,174.79999999999998,G.V.C. LTD,82.5,Reliant Transportation Inc.,56.9,Pioneer Transportation,55.4,L & M Bus Corp.,35.6
2017-01-12T01:00:00.000,New Dawn Transit LLC,136.5,G.V.C. LTD,84.6,Reliant Transportation Inc.,36.199999999999996,Leesel Transportation Corp.,33.300000000000004,Pioneer Transportation,29.2
2017-01-19T01:00:00.000,New Dawn Transit LLC,118.89999999999999,G.V.C. LTD,92.39999999999999,Pioneer Transportation,39.9,Boro Transit Inc.,36.0,Reliant Transportation Inc.,33.0
2017-01-26T01:00:00.000,G.V.C. LTD,83.9,New Dawn Transit LLC,56.3,Pioneer Transportation,44.5,Reliant Transportation Inc.,39.4,L & M Bus Corp.,26.9
2017-02-02T01:00:00.000,G.V.C. LTD,102.6,Pioneer Transportation,42.7,Reliant Transportation Inc.,36.7,New Dawn Transit LLC,35.6,L & M Bus Corp.,29.6
2017-02-09T01:00:00.000,G.V.C. LTD,86.29999999999998,Pioneer Transportation,63.4,Reliant Transportation Inc.,54.699999999999996,New Dawn Transit LLC,34.3,Boro Transit Inc.,33.5
2017-02-16T01:00:00.000,G.V.C. LTD,31.6,New Dawn Transit LLC,18.199999999999996,Reliant Transportation Inc.,14.8,Boro Transit Inc.,13.600000000000001,Pioneer Transportation,12.0
2017-02-23T01:00:00.000,G.V.C. LTD,49.599999999999994,Reliant Transportation Inc.,35.400000000000006,New Dawn Transit LLC,34.400000000000006,Pioneer Transportation,23.3,Boro Transit Inc.,20.7
2017-03-02T01:00:00.000,G.V.C. LTD,57.599999999999994,Pioneer Transportation,37.9,Reliant Transportation Inc.,37.9,New Dawn Transit LLC,31.9,Leesel Transportation Corp.,29.9
2017-03-09T01:00:00.000,Pioneer Transportation,65.80000000000001,G.V.C. LTD,50.599999999999994,New Dawn Transit LLC,41.0,Leesel Transportation Corp.,25.5,Boro Transit Inc.,22.9
2017-03-16T01:00:00.000,G.V.C. LTD,96.7,Pioneer Transportation,77.3,Leesel Transportation Corp.,62.5,New Dawn Transit LLC,60.4,Don Thomas Buses Inc.,31.599999999999998
2017-03-23T01:00:00.000,G.V.C. LTD,80.10000000000001,Leesel Transportation Corp.,63.39999999999999,Pioneer Transportation,62.8,New Dawn Transit LLC,41.89999999999999,Reliant Transportation Inc.,35.2
2017-03-30T02:00:00.000,Leesel Transportation Corp.,112.1,Reliant Transportation Inc.,75.19999999999999,G.V.C. LTD,71.5,Pioneer Transportation,63.6,New Dawn Transit LLC,43.400000000000006
2017-04-06T02:00:00.000,Leesel Transportation Corp.,45.49999999999999,G.V.C. LTD,28.7,Reliant Transportation Inc.,21.4,First Steps Transportation Inc.,17.1,Pioneer Transportation,16.6
2017-04-13T02:00:00.000,Leesel Transportation Corp.,18.900000000000002,G.V.C. LTD,16.9,New Dawn Transit LLC,13.9,Reliant Transportation Inc.,13.7,Pioneer Transportation,11.9
2017-04-20T02:00:00.000,Leesel Transportation Corp.,109.6,G.V.C. LTD,64.89999999999999,New Dawn Transit LLC,55.7,Reliant Transportation Inc.,48.7,Pioneer Transportation,44.4
2017-04-27T02:00:00.000,Leesel Transportation Corp.,103.19999999999999,New Dawn Transit LLC,68.2,G.V.C. LTD,60.5,Pioneer Transportation,54.099999999999994,Reliant Transportation Inc.,51.699999999999996
2017-05-04T02:00:00.000,Leesel Transportation Corp.,108.4,New Dawn Transit LLC,99.6,G.V.C. LTD,57.5,Pioneer Transportation,55.5,Reliant Transportation Inc.,46.0
2017-05-11T02:00:00.000,Leesel Transportation Corp.,126.1,New Dawn Transit LLC,88.5,G.V.C. LTD,84.8,Pioneer Transportation,70.6,Reliant Transportation Inc.,64.5
2017-05-18T02:00:00.000,Leesel Transportation Corp.,142.3,New Dawn Transit LLC,91.3,Pioneer Transportation,82.69999999999999,G.V.C. LTD,79.6,Reliant Transportation Inc.,71.5
2017-05-25T02:00:00.000,Leesel Transportation Corp.,101.5,Pioneer Transportation,54.8,New Dawn Transit LLC,47.5,G.V.C. LTD,46.2,Reliant Transportation Inc.,40.4
2017-06-01T02:00:00.000,Leesel Transportation Corp.,106.10000000000001,New Dawn Transit LLC,83.7,Pioneer Transportation,59.1,G.V.C. LTD,54.1,Reliant Transportation Inc.,44.199999999999996
2017-06-08T02:00:00.000,Leesel Transportation Corp.,95.2,G.V.C. LTD,57.99999999999999,New Dawn Transit LLC,34.099999999999994,Reliant Transportation Inc.,32.3,Pioneer Transportation,32.3
2017-06-15T02:00:00.000,Leesel Transportation Corp.,98.60000000000001,G.V.C. LTD,63.8,New Dawn Transit LLC,55.9,Pioneer Transportation,48.5,Reliant Transportation Inc.,33.0
2017-06-22T02:00:00.000,Leesel Transportation Corp.,56.4,G.V.C. LTD,39.5,Pioneer Transportation,34.5,New Dawn Transit LLC,32.7,Reliant Transportation Inc.,27.3
2017-06-29T02:00:00.000,Reliant Transportation Inc.,23.5,Hoyt Transportation Corp,10.7,G.V.C. LTD,7.5,L & M Bus Corp.,6.6,Pioneer Transportation,5.3999999999999995
2017-07-06T02:00:00.000,G.V.C. LTD,50.800000000000004,Hoyt Transportation Corp,31.1,Pride Transportation Services,16.2,L & M Bus Corp.,14.3,All American School Bus,13.2
2017-07-13T02:00:00.000,Pride Transportation Services,28.9,G.V.C. LTD,27.4,Hoyt Transportation Corp,24.0,L & M Bus Corp.,13.3,Reliant Transportation Inc.,12.9
2017-07-20T02:00:00.000,G.V.C. LTD,33.4,Pride Transportation Services,31.0,Hoyt Transportation Corp,27.200000000000003,Reliant Transportation Inc.,16.5,L & M Bus Corp.,16.400000000000002
2017-07-27T02:00:00.000,Pride Transportation Services,33.3,Hoyt Transportation Corp,21.499999999999996,G.V.C. LTD,20.4,Reliant Transportation Inc.,13.6,L & M Bus Corp.,12.5
2017-08-03T02:00:00.000,Pride Transportation Services,19.7,Hoyt Transportation Corp,13.9,G.V.C. LTD,10.4,All American School Bus,6.2,L & M Bus Corp.,5.800000000000001
2017-08-31T02:00:00.000,Reliant Transportation Inc.,23.2,Leesel Transportation Corp.,7.3999999999999995,Logan Bus Company Inc.,5.1,L & M Bus Corp.,3.8,B & F Skilled Inc.,3.1
2017-09-07T02:00:00.000,Reliant Transportation Inc.,276.59999999999997,Leesel Transportation Corp.,146.9,Pioneer Transportation,64.7,Van Trans LLC,30.3,L & M Bus Corp.,27.700000000000003
2017-09-14T02:00:00.000,Leesel Transportation Corp.,317.40000000000003,Reliant Transportation Inc.,187.89999999999998,Pioneer Transportation,74.69999999999999,New Dawn Transit LLC,53.6,G.V.C. LTD,46.5
2017-09-21T02:00:00.000,Leesel Transportation Corp.,229.89999999999998,Reliant Transportation Inc.,114.69999999999999,Pioneer Transportation,53.6,G.V.C. LTD,41.599999999999994,Boro Transit Inc.,20.8
2017-09-28T02:00:00.000,Leesel Transportation Corp.,366.7,Reliant Transportation Inc.,175.7,Pioneer Transportation,72.7,New Dawn Transit LLC,54.0,Van Trans LLC,41.099999999999994
2017-10-05T02:00:00.000,Leesel Transportation Corp.,285.4,Reliant Transportation Inc.,66.4,Pioneer Transportation,61.099999999999994,G.V.C. LTD,35.99999999999999,New Dawn Transit LLC,29.799999999999997
2017-10-12T02:00:00.000,Leesel Transportation Corp.,218.79999999999998,Reliant Transportation Inc.,122.7,Pioneer Transportation,85.60000000000001,G.V.C. LTD,52.8,New Dawn Transit LLC,33.400000000000006
2017-10-19T02:00:00.000,Leesel Transportation Corp.,279.9,Reliant Transportation Inc.,133.9,Pioneer Transportation,87.3,G.V.C. LTD,74.8,New Dawn Transit LLC,35.0
2017-10-26T02:00:00.000,Leesel Transportation Corp.,267.3,Reliant Transportation Inc.,94.3,Pioneer Transportation,83.0,G.V.C. LTD,67.5,Van Trans LLC,38.5
2017-11-02T01:00:00.000,Leesel Transportation Corp.,132.7,Reliant Transportation Inc.,49.6,G.V.C. LTD,41.800000000000004,Pioneer Transportation,23.3,New Dawn Transit LLC,22.0
2017-11-09T01:00:00.000,Leesel Transportation Corp.,228.0,Reliant Transportation Inc.,112.99999999999999,Pioneer Transportation,82.6,G.V.C. LTD,62.1,Boro Transit Inc.,40.3
2017-11-16T01:00:00.000,Leesel Transportation Corp.,189.2,Reliant Transportation Inc.,76.4,Pioneer Transportation,66.1,G.V.C. LTD,43.9,Van Trans LLC,31.3
2017-11-23T01:00:00.000,Leesel Transportation Corp.,104.8,Reliant Transportation Inc.,45.4,Pioneer Transportation,41.9,G.V.C. LTD,28.4,Boro Transit Inc.,19.900000000000002
2017-11-30T01:00:00.000,Leesel Transportation Corp.,165.70000000000002,Pioneer Transportation,75.1,Reliant Transportation Inc.,54.699999999999996,Van Trans LLC,51.199999999999996,G.V.C. LTD,36.4
2017-12-07T01:00:00.000,Leesel Transportation Corp.,250.39999999999998,Pioneer Transportation,93.89999999999999,Reliant Transportation Inc.,83.10000000000001,G.V.C. LTD,53.1,Van Trans LLC,50.3
2017-12-14T01:00:00.000,Leesel Transportation Corp.,329.9,Pioneer Transportation,152.1,Reliant Transportation Inc.,145.7,Van Trans LLC,81.4,G.V.C. LTD,71.8
2017-12-21T01:00:00.000,Leesel Transportation Corp.,101.5,Reliant Transportation Inc.,30.4,Pioneer Transportation,29.799999999999997,New Dawn Transit LLC,20.200000000000003,Van Trans LLC,18.799999999999997
2017-12-28T01:00:00.000,Leesel Transportation Corp.,49.099999999999994,Pioneer Transportation,42.4,Reliant Transportation Inc.,31.2,New Dawn Transit LLC,24.2,Boro Transit Inc.,22.8
2018-01-04T01:00:00.000,Leesel Transportation Corp.,127.1,Pioneer Transportation,102.0,Reliant Transportation Inc.,92.39999999999999,SNT Bus Inc.,80.6,Boro Transit Inc.,66.1
2018-01-11T01:00:00.000,Leesel Transportation Corp.,160.2,Pioneer Transportation,64.89999999999999,Reliant Transportation Inc.,49.7,New Dawn Transit LLC,34.4,Van Trans LLC,25.7
2018-01-18T01:00:00.000,Leesel Transportation Corp.,245.1,Pioneer Transportation,104.0,Reliant Transportation Inc.,69.8,Van Trans LLC,48.3,New Dawn Transit LLC,34.3
2018-01-25T01:00:00.000,Leesel Transportation Corp.,173.0,Reliant Transportation Inc.,90.10000000000001,Pioneer Transportation,83.1,L & M Bus Corp.,34.900000000000006,Careful Bus,32.699999999999996
2018-02-01T01:00:00.000,Leesel Transportation Corp.,117.19999999999999,Pioneer Transportation,63.6,Reliant Transportation Inc.,52.5,IC Bus Inc.,26.9,Boro Transit Inc.,23.900000000000002
2018-02-08T01:00:00.000,Leesel Transportation Corp.,111.89999999999999,Reliant Transportation Inc.,71.80000000000001,Pioneer Transportation,68.19999999999999,G.V.C. LTD,37.3,Boro Transit Inc.,36.2
2018-02-15T01:00:00.000,Leesel Transportation Corp.,37.8,Reliant Transportation Inc.,21.9,Pioneer Transportation,20.1,IC Bus Inc.,16.5,First Steps Transportation Inc.,14.3
2018-02-22T01:00:00.000,Leesel Transportation Corp.,133.49999999999997,Reliant Transportation Inc.,72.0,Pioneer Transportation,59.2,Boro Transit Inc.,47.1,G.V.C. LTD,34.0
2018-03-01T01:00:00.000,Leesel Transportation Corp.,240.29999999999998,Reliant Transportation Inc.,137.2,Pioneer Transportation,135.9,G.V.C. LTD,52.7,Boro Transit Inc.,44.4
2018-03-08T01:00:00.000,Leesel Transportation Corp.,272.7,Reliant Transportation Inc.,151.2,Pioneer Transportation,111.1,G.V.C. LTD,72.4,Boro Transit Inc.,48.699999999999996
2018-03-15T01:00:00.000,Leesel Transportation Corp.,251.39999999999998,Reliant Transportation Inc.,103.7,Pioneer Transportation,92.9,G.V.C. LTD,47.199999999999996,Boro Transit Inc.,37.2
2018-03-22T01:00:00.000,Leesel Transportation Corp.,269.29999999999995,Reliant Transportation Inc.,116.7,Pioneer Transportation,107.30000000000001,G.V.C. LTD,53.599999999999994,L & M Bus Corp.,45.800000000000004
2018-03-29T02:00:00.000,Leesel Transportation Corp.,42.9,Pioneer Transportation,18.6,Reliant Transportation Inc.,10.3,Boro Transit Inc.,8.7,G.V.C. LTD,6.2
2018-04-05T02:00:00.000,Leesel Transportation Corp.,114.99999999999999,Reliant Transportation Inc.,82.3,Pioneer Transportation,64.7,First Steps Transportation Inc.,48.5,Boro Transit Inc.,35.0
2018-04-12T02:00:00.000,Leesel Transportation Corp.,251.3,Reliant Transportation Inc.,95.99999999999999,Pioneer Transportation,76.5,G.V.C. LTD,42.6,Boro Transit Inc.,34.699999999999996
2018-04-19T02:00:00.000,Leesel Transportation Corp.,238.9,Reliant Transportation Inc.,133.6,Pioneer Transportation,97.3,G.V.C. LTD,60.0,Van Trans LLC,45.599999999999994
2018-04-26T02:00:00.000,Leesel Transportation Corp.,296.0,Pioneer Transportation,129.9,Reliant Transportation Inc.,119.9,G.V.C. LTD,78.5,Van Trans LLC,54.599999999999994
2018-05-03T02:00:00.000,Leesel Transportation Corp.,216.6,Reliant Transportation Inc.,141.39999999999998,Pioneer Transportation,74.9,G.V.C. LTD,53.0,Van Trans LLC,39.699999999999996
2018-05-10T02:00:00.000,Leesel Transportation Corp.,199.79999999999998,Reliant Transportation Inc.,102.89999999999999,Pioneer Transportation,79.8,G.V.C. LTD,57.4,New Dawn Transit LLC,40.2
2018-05-17T02:00:00.000,Leesel Transportation Corp.,198.2,Reliant Transportation Inc.,138.2,Pioneer Transportation,89.5,G.V.C. LTD,48.800000000000004,Selby Transportation Corp.,46.8
2018-05-24T02:00:00.000,Leesel Transportation Corp.,115.2,Reliant Transportation Inc.,91.4,Pioneer Transportation,66.8,Selby Transportation Corp.,36.0,G.V.C. LTD,35.699999999999996
2018-05-31T02:00:00.000,Leesel Transportation Corp.,171.2,Reliant Transportation Inc.,158.79999999999998,Pioneer Transportation,84.3,Selby Transportation Corp.,44.1,Van Trans LLC,43.6
2018-06-07T02:00:00.000,Leesel Transportation Corp.,197.8,Reliant Transportation Inc.,93.1,Pioneer Transportation,70.7,New Dawn Transit LLC,36.0,Selby Transportation Corp.,34.6
2018-06-14T02:00:00.000,Leesel Transportation Corp.,104.39999999999999,Reliant Transportation Inc.,87.5,Pioneer Transportation,51.0,G.V.C. LTD,33.699999999999996,Boro Transit Inc.,27.5
